10925586216169,2,3472211,3146579
9600100544417,2,2846479,3372623
6859807419979,2,2730677,2512127
8571687579251,2,2280401,3758851
9862938917987,2,3630433,2716739
9453980803087,2,3832219,2466973
8800926232471,2,2251349,3909179
8734076660657,2,3463843,2521499
6340689118447,2,2344417,2704591
7480795186723,2,2766109,2704447
12564860575181,2,3546133,3543257
6250662196589,2,2397139,2607551
12637249100969,2,3043597,4152077
9212500207087,2,2931739,3142333
10492409517599,2,4160879,2521681
12777275317357,2,3612307,3537151
10379334104393,2,2765677,3752909
9102447951853,2,3171893,2869721
8585879468053,2,2362873,3633661
13642038142609,2,3438713,3967193
9195971886833,2,2353279,3907727
6446374856177,2,2628053,2452909
9925823957429,2,3435101,2889529
5529966383647,2,2401367,2302841
8869401204721,2,3990773,2222477
8323663176173,2,3114091,2672903
7986544447117,2,2452357,3256681
9805343945699,2,3315857,2957107
9595632989651,2,2889599,3320749
10850794007827,2,2952307,3675361
9064410469967,2,3817859,2374213
15553640052583,2,4083749,3808667
13582225756093,2,3921721,3463333
7800112524401,2,2910997,2679533
7326559693069,2,2374189,3085921
9333085554677,2,2445847,3815891
7439155911667,2,2555711,2910797
9825369442787,2,2698387,3641201
6043843445837,2,2701409,2237293
9569307176999,2,2366627,4043437
8697921647099,2,3708931,2345129
10711017660773,2,3366611,3181543
9357149355959,2,4049387,2310757
9869717442647,2,3874837,2547131
8754485383499,2,3127919,2798821
8035348534327,2,3366131,2387117
14319291724043,2,3824921,3743683
12189112115627,2,3155959,3862253
12799984340903,2,3710761,3449423
12448788256999,2,2998531,4151629
7684243407781,2,2244131,3424151
7648178486761,2,2497163,3062747
11356783997227,2,2815447,4033741
16249767731069,2,3994799,4067731
8973430037717,2,3819617,2349301
8043382699117,2,3398029,2367073
5866903234331,2,2201107,2665433
11847369558847,2,3978101,2978147
6251224142623,2,2185091,2860853
8019062835089,2,3316517,2417917
8462288510057,2,3670649,2305393
5291346381887,2,2335363,2265749
10427738220791,2,3033703,3437297
15520103909419,2,4181183,3711893
